question,context,answer_text
What was the theme of the dinner party,"Howard: I’m sensing a theme. You ever really think about the Spider-Man theme song? How’s that dinner coming? Raj: Well, put your mind at ease. I’m here to make sure your dinner party kicks Howard’s dinner party’s ass. Now, the first thing we need is a theme. I’m thinking, ah, turn-of-the-century Moulin Rouge. Dr Koothrappali: You know, my wife used to throw theme parties like this all the time. Sheldon: I’m sorry. Are we really doing this or are we tricking Koothrappali again like with the dinner party? Raj: Amy, good luck getting these guys excited about a dinner with a theme. I gave up when no one cared about my Tom Hanks-giving. Raj: It, it is. It’s not just comic books. They’ve got action figures, toys, a Tron-themed dance party. Raj: Ooh, this is exciting. Like one of my classic murder mystery dinner parties. Leonard: Mm, you know, we could throw a dinner party, too. Maybe even ask everyone to get dressed up. Raj: So, couldn’t help but notice none of you RSVP’d to my murder mystery dinner party. Leonard: Is there a theme? Raj: Before I forget, I’d like your opinion on the menus I’ve prepared for the Halloween party. The theme is food that goes bump in the night. Sheldon: All right, fine. Let’s say that we were to entertain people. What type of gathering did you have in mind? Huh? A meal? Lunch? Brunch? Dinner? Afternoon tea? A formal tea? Hmm? Is it a party? And if so, what kind of party? Is it a cocktail party? A Tupperware party? Ooh, is it a surprise party? Oh, I hope it’s not a West Coast party, ’cause according to the man on the radio, a West Coast party don’t stop. Penny: Party’s over! Party’s over! Leonard: Well, it’s just kind of weird how grown up he is now. Happily married guy throwing dinner parties. Leonard: Do you remember his old theme song? Sheldon: Super Mario Bros. theme? Sheldon: Is anyone else troubled by the Spider-Man theme song? No! Sheldon: What if I play the Star Trek theme on my nose? Raj: Of course it does. Didn’t your baby room have a theme?",murder mystery
What kind of dinner party was in Big Bang Theory,"Caption: THE BIG BANG THEORY Scene: Following a “Previously on The Big Bang Theory” section Scene: Following a “Previously on The Big Bang Theory” section Leonard: Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang. Leonard: Well, it’s just kind of weird how grown up he is now. Happily married guy throwing dinner parties. James: Ay-yi-yi, bang-bang. Leonard: It’s kind of a big deal. Penny: Oh, yeah, kind of. It’s, it’s no big thing. Sheldon: All right, fine. Let’s say that we were to entertain people. What type of gathering did you have in mind? Huh? A meal? Lunch? Brunch? Dinner? Afternoon tea? A formal tea? Hmm? Is it a party? And if so, what kind of party? Is it a cocktail party? A Tupperware party? Ooh, is it a surprise party? Oh, I hope it’s not a West Coast party, ’cause according to the man on the radio, a West Coast party don’t stop. Sheldon: I’m sorry. Are we really doing this or are we tricking Koothrappali again like with the dinner party? Penny: Screw it. I’m not gonna make a big deal out of this. It’s just dinner. Sheldon: Kind of like when Firefly was cancelled. But not as big. Raj: Ooh, this is exciting. Like one of my classic murder mystery dinner parties. Leonard: Mm, you know, we could throw a dinner party, too. Maybe even ask everyone to get dressed up. Raj: So, couldn’t help but notice none of you RSVP’d to my murder mystery dinner party. Amy: Okay, great, I mean, it doesn’t have to be a big party or anything. I was just, where’d he go? Raj: I like your bangs. Raj: Well, put your mind at ease. I’m here to make sure your dinner party kicks Howard’s dinner party’s ass. Now, the first thing we need is a theme. I’m thinking, ah, turn-of-the-century Moulin Rouge. Howard: The blogosphere is a-buzzing with news of you and Lesley Winkle making eine kleine bang-bang music. Sheldon: It’s not that big of an opportunity. And even if Hawking’s theories are correct, all they prove is where the universe came from, why everything exists and what its ultimate end will be. I mean, me? I’m interested in the big questions.",murder mystery
What theme of dinner party did Raj like,"Raj: Well, put your mind at ease. I’m here to make sure your dinner party kicks Howard’s dinner party’s ass. Now, the first thing we need is a theme. I’m thinking, ah, turn-of-the-century Moulin Rouge. Raj: Ooh, this is exciting. Like one of my classic murder mystery dinner parties. Dr Koothrappali: You know, my wife used to throw theme parties like this all the time. Howard: I’m sensing a theme. You ever really think about the Spider-Man theme song? How’s that dinner coming? Sheldon: I’m sorry. Are we really doing this or are we tricking Koothrappali again like with the dinner party? Raj: Before I forget, I’d like your opinion on the menus I’ve prepared for the Halloween party. The theme is food that goes bump in the night. Raj: Yeah, you’ll love it. Ain’t no party like a Koothra-party. Raj: Amy, good luck getting these guys excited about a dinner with a theme. I gave up when no one cared about my Tom Hanks-giving. Raj: So, couldn’t help but notice none of you RSVP’d to my murder mystery dinner party. Raj: It, it is. It’s not just comic books. They’ve got action figures, toys, a Tron-themed dance party. Raj: It’s been around for years. It’s like folk music, but with a sci-fi/fantasy theme. Raj: If it’s an alternate dimension, sounds like a job for a landing party. Leonard: Mm, you know, we could throw a dinner party, too. Maybe even ask everyone to get dressed up. Raj: Of course it does. Didn’t your baby room have a theme? Penny: Oh, I’ll go. I like a party. Leonard: Why would it trouble you? It’s, like, your third favourite cartoon theme song. Raj: Why did you even go to dinner with the guy? Raj: Sheldon, dinner! Leonard: Is there a theme? Amy: Well, I was wondering if you’d like to get dinner again sometime.",murder mystery
What did the air force contact Howard about quantam what,"Howard: The Air Force contacted me about our quantum gyroscope. They want to have a meeting. Air Force Officer: I’m looking for Howard Wolowitz. Air Force Officer: Is he here? Air Force Officer: No, you may not. Air Force Officer: Have him call me. Howard: Thanks. Hey, I just got an e-mail from the U.S. Air Force. Air Force Officer: I have the right address, don’t I? Air Force Officer: Do you know where I can find him? Leonard: That’s great, but the Air Force approved the specs. We’re good to go. Leonard: We only have two months to deliver this to the Air Force because of you. Leonard: Oh, I would, but we need to make a push on the air force project. Howard: I don’t know what to do. It’s the Air Force. I mean, should I respond to their e-mail? Ignore it? Bernadette: I’m worried about Howard. Ever since that guy from the Air Force showed up, he’s been a nervous wreck. Leonard: I can’t believe the Air Force would treat us like that. Sheldon: What’s the big deal? It’s full of classified information about the air force project. Sheldon: That’s true. There’s the U.S. Air Force, U.S. Department of Defence, U.S. Navy, you and I are going to jail. Amy: You know, what you need to do is put this Air Force project behind you and just dive into something new. Leonard: Hey, a toast. Thank you all for your support while we worked on our Air Force project. And please know that we could not have done it without you, so cheers. Sheldon: You know, I have a good mind to stop paying my taxes. It’s too bad I enjoy doing them so much. The Air Force did it again. They’re erasing our lives. Howard: We’re going to be hundred-aires.",quantam gyroscope
What did the air force contact Howard about,"Howard: The Air Force contacted me about our quantum gyroscope. They want to have a meeting. Air Force Officer: I’m looking for Howard Wolowitz. Air Force Officer: Is he here? Air Force Officer: No, you may not. Air Force Officer: Have him call me. Howard: Thanks. Hey, I just got an e-mail from the U.S. Air Force. Air Force Officer: I have the right address, don’t I? Air Force Officer: Do you know where I can find him? Leonard: That’s great, but the Air Force approved the specs. We’re good to go. Leonard: We only have two months to deliver this to the Air Force because of you. Leonard: Oh, I would, but we need to make a push on the air force project. Howard: I don’t know what to do. It’s the Air Force. I mean, should I respond to their e-mail? Ignore it? Bernadette: I’m worried about Howard. Ever since that guy from the Air Force showed up, he’s been a nervous wreck. Leonard: I can’t believe the Air Force would treat us like that. Sheldon: What’s the big deal? It’s full of classified information about the air force project. Sheldon: That’s true. There’s the U.S. Air Force, U.S. Department of Defence, U.S. Navy, you and I are going to jail. Amy: You know, what you need to do is put this Air Force project behind you and just dive into something new. Leonard: Hey, a toast. Thank you all for your support while we worked on our Air Force project. And please know that we could not have done it without you, so cheers. Sheldon: You know, I have a good mind to stop paying my taxes. It’s too bad I enjoy doing them so much. The Air Force did it again. They’re erasing our lives. Howard: We’re going to be hundred-aires.",quantam gyroscope
The air force was interested in what,"Air Force Officer: Is he here? Air Force Officer: No, you may not. Air Force Officer: Have him call me. Air Force Officer: I’m looking for Howard Wolowitz. Air Force Officer: I have the right address, don’t I? Air Force Officer: Do you know where I can find him? Leonard: That’s great, but the Air Force approved the specs. We’re good to go. Leonard: We only have two months to deliver this to the Air Force because of you. Leonard: Oh, I would, but we need to make a push on the air force project. Leonard: I can’t believe the Air Force would treat us like that. Howard: Thanks. Hey, I just got an e-mail from the U.S. Air Force. Howard: The Air Force contacted me about our quantum gyroscope. They want to have a meeting. Sheldon: What’s the big deal? It’s full of classified information about the air force project. Colonel Williams: I should have known. Behind every great invention is an MIT mind. I’ll cut to the chase. The Air Force believes there’s an application for this technology, and we’re interested in funding your research. Sheldon: That’s true. There’s the U.S. Air Force, U.S. Department of Defence, U.S. Navy, you and I are going to jail. Howard: I don’t know what to do. It’s the Air Force. I mean, should I respond to their e-mail? Ignore it? Bernadette: I’m worried about Howard. Ever since that guy from the Air Force showed up, he’s been a nervous wreck. Amy: You know, what you need to do is put this Air Force project behind you and just dive into something new. Leonard: Hey, a toast. Thank you all for your support while we worked on our Air Force project. And please know that we could not have done it without you, so cheers. Sheldon: You know, I have a good mind to stop paying my taxes. It’s too bad I enjoy doing them so much. The Air Force did it again. They’re erasing our lives.",quantam gyroscope
What was the air force interested in,"Air Force Officer: Is he here? Air Force Officer: No, you may not. Air Force Officer: Have him call me. Air Force Officer: I’m looking for Howard Wolowitz. Air Force Officer: I have the right address, don’t I? Air Force Officer: Do you know where I can find him? Leonard: That’s great, but the Air Force approved the specs. We’re good to go. Leonard: We only have two months to deliver this to the Air Force because of you. Leonard: Oh, I would, but we need to make a push on the air force project. Leonard: I can’t believe the Air Force would treat us like that. Howard: Thanks. Hey, I just got an e-mail from the U.S. Air Force. Howard: The Air Force contacted me about our quantum gyroscope. They want to have a meeting. Sheldon: What’s the big deal? It’s full of classified information about the air force project. Colonel Williams: I should have known. Behind every great invention is an MIT mind. I’ll cut to the chase. The Air Force believes there’s an application for this technology, and we’re interested in funding your research. Sheldon: That’s true. There’s the U.S. Air Force, U.S. Department of Defence, U.S. Navy, you and I are going to jail. Howard: I don’t know what to do. It’s the Air Force. I mean, should I respond to their e-mail? Ignore it? Bernadette: I’m worried about Howard. Ever since that guy from the Air Force showed up, he’s been a nervous wreck. Amy: You know, what you need to do is put this Air Force project behind you and just dive into something new. Leonard: Hey, a toast. Thank you all for your support while we worked on our Air Force project. And please know that we could not have done it without you, so cheers. Sheldon: You know, I have a good mind to stop paying my taxes. It’s too bad I enjoy doing them so much. The Air Force did it again. They’re erasing our lives.",quantam gyroscope
Who broke up with Amy,"Leonard: Amy broke up with Sheldon. Penny: I hear you broke up with Amy. Amy: Oh, my gosh. That’s the girl that broke Rajesh’s heart. Emily: You know, the same thing happened to me. After I broke up with Raj, I met Gary, who’s just amazing. Leonard: Well, he’s having a rough time. Amy broke his heart, the DVR cut off the last minute of Doctor Who. That crow followed him home. : My first love broke my heart for the first time. Bernadette: It’s understandable. Amy was afraid to tell her mom she broke up with Sheldon. Raj: I broke up with her. Sheldon: She broke up with me. Amy: Who is it? Amy: Who? Amy: Who’s he? Beverly: He’s also broke. Did he mention that? Bert: I broke up with Rebecca. Penny: We just broke up. Sheldon: Not that it’s any of your business, but she broke up with me. Raj: Can I ask you guys a question? So, I’m seeing Lucy tomorrow night, and I’ve never hung out with someone who broke up with me. How do you do it? Zack: Cool. ‘Cause other than when you broke up with him and dated me, then broke up with me, and then dated me one more time before going back to him, I was always rooting for you two. Amy: Who else’s side could you have been on? Amy: Oh, hello. Who are you?",Sheldon
Who had a relationship with Amy,"Amy: Then, why did you terminate your relationship with him? Sheldon: Amy has ended our relationship. Amy: I have a relationship and a full-time career, too. Sheldon: Are you suggesting I terminate my relationship with Amy? Amy: Sheldon, are we ever going to have an intimate relationship? Sheldon: Beverly pointed out that I’m experiencing insecurities in my relationship with Amy, in the same way that Leonard and Penny are in their relationship. Leonard: The guy who seems like an emotionless robot is you, but your relationship with Amy is causing you to transform into a red-blooded man with sexual desires. Amy: Who is it? Amy: Who? Amy: Who’s he? Leonard: No, no, no, no, let’s talk about it. I’m the one who’s made all the effort in this relationship since day one. Please tell me what more I could do? Raj: Look, I’m not the kind of guy who drops his friends just because he’s in a relationship. Leonard: Maybe you should consider women who aren’t in serious relationships with your closest friends? Sheldon: Amy, this isn’t easy to say. All relationships are difficult, but even more so when you’re in one with a person who struggles with everyday social interactions. And frankly, who can strike some people as being kind of a weirdo. Amy: Me, too. Out of deference to them, let’s not flaunt our happy relationship. Amy: You know, you’re right. I’m in this relationship, too. I need to stand up for myself. Amy: I remember signing our first relationship agreement. Amy: No, we’re sorry. We never should have been comparing relationships in the first place. Sheldon: Amy, the relationship agreement was not designed for either one of us to get our way. Amy: You and I are in a relationship. I help you with your shortcomings, and you help me with mine.",Sheldon
Amy broke up with whom,"Leonard: Amy broke up with Sheldon. Penny: I hear you broke up with Amy. Amy: Oh, my gosh. That’s the girl that broke Rajesh’s heart. Sheldon: Who’s going to tell whom about what? Penny: The one from whom I live across the hall from. Priya: Oh, too bad. Although I do know one person for whom that’s good news. : My first love broke my heart for the first time. Bernadette: It’s understandable. Amy was afraid to tell her mom she broke up with Sheldon. Raj: I broke up with her. Sheldon: She broke up with me. Sheldon: And you never answered me. So who owes whom an apology now? Beverly: He’s also broke. Did he mention that? Bert: I broke up with Rebecca. Penny: We just broke up. Sheldon: Not that it’s any of your business, but she broke up with me. Zack: Cool. ‘Cause other than when you broke up with him and dated me, then broke up with me, and then dated me one more time before going back to him, I was always rooting for you two. Penny: Question one. Given the choice of anyone in the world, whom would you want as a dinner guest? Leonard: Yeah, well, not necessary. We broke up again. Leonard: I’ve gotten a lot more street since we broke up. Raj: But I just broke up with my girlfriend.",Sheldon
Amy and who broke up,"Leonard: Amy broke up with Sheldon. Penny: I hear you broke up with Amy. Amy: Oh, my gosh. That’s the girl that broke Rajesh’s heart. Emily: You know, the same thing happened to me. After I broke up with Raj, I met Gary, who’s just amazing. Leonard: Well, he’s having a rough time. Amy broke his heart, the DVR cut off the last minute of Doctor Who. That crow followed him home. : My first love broke my heart for the first time. Bernadette: It’s understandable. Amy was afraid to tell her mom she broke up with Sheldon. Raj: I broke up with her. Sheldon: She broke up with me. Amy: Who is it? Amy: Who? Amy: Who’s he? Beverly: He’s also broke. Did he mention that? Bert: I broke up with Rebecca. Penny: We just broke up. Sheldon: Not that it’s any of your business, but she broke up with me. Raj: Can I ask you guys a question? So, I’m seeing Lucy tomorrow night, and I’ve never hung out with someone who broke up with me. How do you do it? Zack: Cool. ‘Cause other than when you broke up with him and dated me, then broke up with me, and then dated me one more time before going back to him, I was always rooting for you two. Amy: Who else’s side could you have been on? Amy: Oh, hello. Who are you?",Sheldon
Fun with Flags was designed by whom,"Together: Fun with flags, fun with flags. : It’s fun with flags, behind the flags, a retrospective. Flags. Together: Fun with Flags: Behind the Flags: A Retrospective. Together: Fun with Flags: Behind the Behind the Flags: A Retrospective Retrospective. Together: Fun with flags. Amy: Oh. Hello, you’re on Fun with Flags. Amy: Did you know that the flag was designed by a student named Edrice Lewis… Together: Dr. Sheldon Cooper’s Fun With Flags. Both: Dr. Sheldon Cooper’s Fun with Flags. Amy: Sheldon, I am not doing Fun With Flags with you. Sheldon: Now, today’s episode of Fun with Flags is not fun, but it is important. Flags: you gotta know how to hold ’em, you gotta know how to fold ’em. Let’s start by identifying the parts of our flag. This edge is the hoist, and it’s used to… Amy: Oh. Uh, we-we have another caller. Hi. You’re on Fun with Flags. Howard: Oh say can you see, it’s fun with flags. Amy: Now, I’m sure many of you are wondering how Fun with Flags began. Scene: Amy’s apartment. Amy is watching Fun With Flags. Sheldon: A precocious little Internet show known as Fun With Flags. Sheldon: Good news. Uh, the latest episode of Fun with Flags is online. : For joy and fun there’s no better manner than to fly a pennant flag or banner. Sheldon: Speaking of ending relationships, when British Honduras became Belize, they designed a new flag with a tree on it, and I would like to hang myself from that tree. Sheldon: Fun and information are two sides to this video podcast, not unlike the only two-sided state flag, Oregon. Oh, look. Hello, Mr. Beaver. In future episodes, we’ll answer some burning questions. What’s the only non-rectangular flag? What animal appears most often on flags? What animal appears second most often on flags? And more.",Sheldon
Who was interested in Flags,"Sheldon: Here’s an interesting fact about flags. Wil: Well, this is an exciting one. This is the flag of the United Federation of Planets. Now what’s interesting about this flag… Sheldon: How nice. Here are some topics that interest me, quantum mechanics, trains, flags. LeVar: Hey, Sheldon, it’s a pleasure to be here. Well, we’ve got some interesting flags for… : It’s fun with flags, behind the flags, a retrospective. Flags. Together: Fun with Flags: Behind the Flags: A Retrospective. Together: Fun with flags, fun with flags. Amy: People who are fans of an Internet show about flags? Trust me, they’re around. Together: Fun with Flags: Behind the Behind the Flags: A Retrospective Retrospective. Sheldon: Oh, none that I could see. I saw a man who loved flags almost as much as I do. I got goose bumps. Amy: …spoiled astrophysicist who not only… oh. Well, that was quick. Hi. You’re on Fun with Flags. Sheldon: And now it’s time for the speed round of Flag or Not a Flag. Sheldon: Interesting. Very interesting. Scene: I went to Saudi Arabia and met with a prince who had an interest in neurobiology. Penny: Bert, you’re a good guy, you deserve a woman who’s interested in more than just your money. Sheldon: Flags. Amy: And what does that have to do with flags? Together: Fun with flags. Amy: Since we’re live, you’ll finally be able to reach out to us with your flag thoughts and flag questions. Sheldon: Mind you, when we say behind the flags, we don’t literally mean these flags. That’s just where we have dinner.",Sheldon
