Query,relevant_transcript,relevance_score,old query
Where did Penny and Leonard's wedding take place?,"(5 4) Leonard: Hey, how go the wedding plans, Howard?",1,
Where did Penny and Leonard's wedding take place?,(2 7) Howard: Then you’re not invited to our wedding.,1,
Where did Penny and Leonard's wedding take place?,(7 9) Penny: We had one of those silly fake weddings.,1,
Where did Penny and Leonard's wedding take place?,"(4 6) Leonard: The hope has been that you’d eventually bend to public opinion. So, Priya, what brings you back to LA?",0,
Where did Penny and Leonard's wedding take place?,"(9 1) Bernadette: Sheldon, shh. The wedding’s starting.",0,
Where did Penny and Leonard's wedding take place?,(5 24) Cosmonaut: You and Mrs. Loops have a big wedding?,1,
Where did Penny and Leonard's wedding take place?,"(5 20) Leonard: Mmm, you liked Professor Guyster’s wedding.",1,
Where did Penny and Leonard's wedding take place?,"(9 1) Howard: Yeah. I mean, not like our wedding beautiful.",2,
Where did Penny and Leonard's wedding take place?,"(5 22) Bernadette: Yeah, the wedding’s still on. (They hug)",0,
Where did Penny and Leonard's wedding take place?,(6 2) Bernadette: And the next wedding gift is a gravy boat.,1,
Where did Penny and Leonard's wedding take place?,(3 21) Sheldon: Hold.,1,
Where did Penny and Leonard's wedding take place?,"(9 1) Sheldon: Oh, you’re going to a wedding alone? That’s sad.",0,
Where did Penny and Leonard's wedding take place?,"(9 13) Leonard: So, the guys and I were talking about renting a party bus and everyone going to Vegas.",0,
Where did Penny and Leonard's wedding take place?,"(9 24) Penny: Okay, wait, you’re inviting people to our wedding?",1,
Where did Penny and Leonard's wedding take place?,"(9 2) Penny: Sheldon, I can’t believe you got us a wedding gift.",0,
Where did Penny and Leonard's wedding take place?,"(8 23) Dr Hofstadter: So, have you and Penny set a wedding date?",1,
Where did Penny and Leonard's wedding take place?,"(5 16) Howard: I know, it’s not on my wedding diet. I don’t care.",1,
Where did Penny and Leonard's wedding take place?,(8 15) Bernadette: This is why I had to rewrite our wedding vows.,1,
Where did Penny and Leonard's wedding take place?,"(5 24) Bernadette: Howard, don’t talk like that on your wedding day.",0,
Where did Penny and Leonard's wedding take place?,(9 1) Leonard: Can’t believe I’m spending my wedding night with you.,0,
Where did Penny and Leonard's wedding take place?,(3 6) Howard: Hold my line.,1,
Where did Penny and Leonard's wedding take place?,"(6 1) Penny: Okay, hold on…",1,
Where did Penny and Leonard's wedding take place?,(5 12) Raj: What’s your mom going to say if you call off the wedding?,1,
Where did Penny and Leonard's wedding take place?,"(9 24) Penny: Okay, fine, but why would you invite him to our wedding?",1,
Where did Penny and Leonard's wedding take place?,"(7 11) Leonard: Oh, hold on.",0,
Where did Penny and Leonard's wedding take place?,"(5 9) Sheldon: It depends on the activity. For a prostate exam, yes. If you’re playing Vegas, I’d add sequins.",1,
Where did Penny and Leonard's wedding take place?,(10 18) Beverley: I see. You must be yelling at me out of wedded bliss.,0,
Where did Penny and Leonard's wedding take place?,"(2 18) Howard: Actually, I’m thinking about this one stripper named Vega. But sure, calcium sulphate could work.",0,
Where did Penny and Leonard's wedding take place?,(5 22) Sheldon: You know Germans have an interesting pre-wedding custom.,1,
Where did Penny and Leonard's wedding take place?,"(9 23) Penny: Thank you. So if we would have asked you to come to Vegas to see us get married, you would’ve come?",0,
Where did Penny and Leonard's wedding take place?,"(4 19) Priya: Oh, hold the door.",0,
Where did Penny and Leonard's wedding take place?,(10 1) Susan: Thank you for cleaning yourself up for your sister’s wedding.,0,
Who designed the show Fun with Flags?,"(9 15) Sheldon: So from now on, this program will be officially known as Dr. Sheldon Cooper and Dr. Amy Farrah Fowler present Dr. Sheldon’ Cooper’s Fun With Flags.",2,Sheldon Cooper Presents Fun with Flags
Who designed the show Fun with Flags?,(5 14) Sheldon: Und dis is Sheldon Cooper Presents Fun…,2,
Who designed the show Fun with Flags?,(10 7) Both: Dr. Sheldon Cooper’s Fun with Flags.,2,
Who designed the show Fun with Flags?,"(8 10) Sheldon: Hello. I’m Doctor Sheldon Cooper, and welcome to Sheldon Cooper presents Fun with Flags, the final episode flagtacular. I knew it was coming. Still scary. Now, I’m sure you’re thinking, the final episode? Who will stand between us and flag ignorance?",2,
Who designed the show Fun with Flags?,(9 15) Together: Dr. Sheldon Cooper’s Fun With Flags.,2,
Who designed the show Fun with Flags?,"(5 14) Sheldon: Hello. I’m Dr. Sheldon Cooper, and welcome to the premiere episode of Sheldon Cooper Presents Fun with Flags. Over the next 52 weeks, you and I are going to explore the dynamic world of vexillology.",2,
Who designed the show Fun with Flags?,"(5 14) Sheldon: Speaking of cowboys, do you know what country has not one but two cows on its flag? The tiny landlocked nation of Andorra. Oh, the next classic episode of Sheldon Cooper Presents Fun with Flags is writing itself.",2,
Who designed the show Fun with Flags?,"(5 14) Sheldon: No, I’m a little rattled. But like the flag over Fort Sumter, I’m still here. And, take two. Hello. I’m Dr. Sheldon Cooper, and welcome to the premiere episode of Sheldon Cooper Presents Fun with Flags. Over the next 52 weeks, you and I are going to explore the dynamic world of vexillology.",2,
Who designed the show Fun with Flags?,"(10 7) Together: Fun with flags, fun with flags.",1,
Who designed the show Fun with Flags?,"(6 7) Sheldon: Hello, I’m Dr. Sheldon Cooper. Welcome to Sheldon Cooper Presents Fun with Flags. Get ready for a very special episode where we explore the flags of the popular entertainment franchise, Star Trek. And to help us, I’m pleased to introduce a special guest, surprisingly, it only took gas money and the promise of free food to get him here, Mr. LeVar Burton.",2,
Who designed the show Fun with Flags?,"(10 21) Together (singing): It’s fun with flags, behind the flags, a retrospective. Flags.",1,
Who designed the show Fun with Flags?,"(6 17) Sheldon: Hello, I’m Dr. Sheldon Cooper. Welcome to Sheldon Cooper Presents Fun with Flags. My apologies that this episode is coming late. I did shoot one last week, in honour of Black History Month, but I was informed by my roommate that my spot-on portrayal of George Washington Carver could be considered wildly racist. My heart goes out to the members of the African-American community, who, like me, have been kept down by The Man. Now, Fun with Flags is not just for the flag aficionado, it’s also for the flag novice, so, to help me with that, please welcome my friend, neighbour, and flag virgin, yeah, not a real virgin. She’s had coitus many times. Sometimes within earshot of this flag enthusiast. Once while he was trying to watch The Incredibles. Penny.",2,
Who designed the show Fun with Flags?,(10 21) Together: Fun with Flags: Behind the Flags: A Retrospective.,1,
Who designed the show Fun with Flags?,(1 9) Sheldon: Have fun presenting my lucky hunch.,0,
Who designed the show Fun with Flags?,"(6 7) Sheldon: Hello, I’m Dr. Sheldon Cooper. Welcome to Sheldon Cooper Presents Fun with Flags. Before we get started, I’d like to announce the winner of our design your own flag competition. But I can’t. The only entry was from GameyGamer75, and I know that was a jpeg of your buttocks. Now this week we have a very special episode where we explore the flags of the popular entertainment franchise, Star Trek. And to help me, I’m pleased to introduce Internet personality, former star of Star Trek: The Next Generation, and the only guy I know lucky enough to be immortalized in one sixteenth scale. Set phasers to fun for my friend, Wil Wheaton.",2,
Who designed the show Fun with Flags?,"(5 14) Sheldon: Now, today’s episode of Fun with Flags is not fun, but it is important. Flags: you gotta know how to hold ’em, you gotta know how to fold ’em. Let’s start by identifying the parts of our flag. This edge is the hoist, and it’s used to…",2,
Who designed the show Fun with Flags?,(10 7) Together: Fun with flags.,1,
Who designed the show Fun with Flags?,(10 21) Together: Fun with Flags: Behind the Behind the Flags: A Retrospective Retrospective.,1,
Who designed the show Fun with Flags?,"(9 2) Amy: Sheldon, I am not doing Fun With Flags with you.",1,
Who designed the show Fun with Flags?,"(9 15) Sheldon: All right. Nothing about this is fun. No one wants to talk about flags, and I haven’t spoken in over ten minutes, so, enjoy your new show, Internet. Dr. Amy Farrah Flower present with.",1,
Who designed the show Fun with Flags?,"(8 10) Sheldon: Wait, that purple flag indicates that marine pests, such as jellyfish, are present.",0,
Who designed the show Fun with Flags?,(9 2) Sheldon: A precocious little Internet show known as Fun With Flags.,2,
Who designed the show Fun with Flags?,"(10 21) Amy: Oh. Hello, you’re on Fun with Flags.",1,
Who designed the show Fun with Flags?,"(6 17) Sheldon: Good news. Uh, the latest episode of Fun with Flags is online.",2,
Who designed the show Fun with Flags?,"(10 7) Howard: Oh say can you see, it’s fun with flags.",1,
Who designed the show Fun with Flags?,"(3 15) Sheldon (trying it): It’s actually not bad. But my true purpose in being here will be revealed in this brief PowerPoint presentation. Lights. Why Sheldon Cooper, PhD, should go to Switzerland to see the CERN supercollider. A PowerPoint presentation by Sheldon Cooper, PhD.",0,
Who designed the show Fun with Flags?,(9 2) Scene: Amy’s apartment. Amy is watching Fun With Flags.,1,
Who designed the show Fun with Flags?,"(9 2) Sheldon: Hello. I’m Dr. Sheldon Cooper, and welcome to Sheldon Cooper Presents: Fun With Flags. You may notice that I’m holding a remote control. That’s because my cameraperson and co-host, Dr. Amy Farrah Fowler, has chosen to end her relationship with me. I’m going to pause here to let that sink in. Okay. If you need to pause a little longer, just click the pause button. But the show must go on. And thankfully, all the things my girlfriend used to do can be taken care of with my right hand. Anyway, let’s not spend any more time talking about her. We’re here to talk about flags. Tonight’s theme, flags of countries that have been torn apart and the women I have a feeling were responsible.",2,
Who designed the show Fun with Flags?,(10 7) Sheldon: And welcome to the first on location episode of Dr. Sheldon Cooper and Dr. Amy Farrah Fowler present…,0,
Who designed the show Fun with Flags?,"(9 15) Amy: Oh. Uh, we-we have another caller. Hi. You’re on Fun with Flags.",1,
Who designed the show Fun with Flags?,"(8 10) Sheldon: Over the years here at Fun With Flags, we’ve had an opportunity to learn, laugh, wonder.",1,
Who designed the show Fun with Flags?,"(10 21) Amy: Now, I’m sure many of you are wondering how Fun with Flags began.",1,
Who designed the show Fun with Flags?,"(5 14) Sheldon: Fun and information are two sides to this video podcast, not unlike the only two-sided state flag, Oregon. Oh, look. Hello, Mr. Beaver. In future episodes, we’ll answer some burning questions. What’s the only non-rectangular flag? What animal appears most often on flags? What animal appears second most often on flags? And more.",1,
Who designed the show Fun with Flags?,"(6 4) Sheldon: It’s not a present, it’s the present. Look. There’s you and me. There’s Penny and Amy. We’re playing Pictionary. In the present.",0,
Who designed the show Fun with Flags?,(10 7) Howard (singing): For joy and fun there’s no better manner than to fly a pennant flag or banner.,0,
Who designed the show Fun with Flags?,"(10 21) Sheldon: And now we’re going to turn it over to you, the viewers, to call in and share your favourite Fun with Flags moments.",2,
Who designed the show Fun with Flags?,"(9 15) Amy: …spoiled astrophysicist who not only… oh. Well, that was quick. Hi. You’re on Fun with Flags.",1,
Who designed the show Fun with Flags?,(10 21) Sheldon: Just roll the clip. (On voiceover) So tell us in your own words about that magical moment when Fun with Flags was born.,2,
Who designed the show Fun with Flags?,(8 10) Sheldon: And now it’s time for the speed round of Flag or Not a Flag.,1,
Who designed the show Fun with Flags?,"(6 7) Amy: It’s called Fun with Flags. They’re not at half-mast, nobody died. Let’s try and keep it upbeat.",1,
Who designed the show Fun with Flags?,"(9 13) Leonard: Well, I hope it’s as much fun as the Sheldon Cooper Spell-Checks Local Menus Tour.",0,
Who designed the show Fun with Flags?,"(8 10) Sheldon: I posted the last episode of Fun with Flags hours ago, and not a single person cared enough to comment. All that effort for nothing.",2,
Who designed the show Fun with Flags?,"(10 21) Sheldon: And welcome to a special retrospective, where we will take a look back at the history of Fun with Flags on an episode we’re calling…",2,
Who designed the show Fun with Flags?,"(8 10) Sheldon: You told me not to call, and I didn’t know how else to give you the good news. Fun with Flags is back, and you can be in the next episode.",2,
Who designed the show Fun with Flags?,(5 14) Sheldon: Flags.,0,
Who designed the show Fun with Flags?,"(10 21) Amy: And don’t get discouraged if the phone lines are jammed. Just keep trying. (Long pause) Oh, thank God, welcome to Fun with Flags.",1,
Who designed the show Fun with Flags?,"(8 10) Sheldon: Well, my little flag-keteers, it looks like the last episode of Fun with Flags is at an end. If I could, I would run each and every one of you viewers up a flagpole and salute you. And if you touched the ground, burn you. I’d like to take a moment to personally thank Dr. Amy Farrah Fowler, who you may or may not know is the first woman to co-host a flag or banner-related Internet info-tainment show.",2,
Who designed the show Fun with Flags?,"(10 21) Sheldon: Mind you, when we say behind the flags, we don’t literally mean these flags. That’s just where we have dinner.",0,
Who designed the show Fun with Flags?,"(8 10) Sheldon: Too bad your show is done. I kind of liked it. Leonard, did you hear that? Oh, the people are heartbroken. I can’t take this away from the world. Fun with Flags is back.",2,
Who designed the show Fun with Flags?,"(1 4) Mrs Cooper: Mary Cooper, Sheldon’s mom.",0,
Who designed the show Fun with Flags?,(2 11) Sheldon: Wait! You bought me a present?,0,
Who designed the show Fun with Flags?,(8 11) Sheldon: I’m going to buy her a present.,0,
Who designed the show Fun with Flags?,"(9 15) Amy: No, I just blink a lot, it’s not Morse code for rescue me. Oh, uh, ok, uh, here’s our first call. Hello, and welcome to Fun With Flags. What’s your question?",1,
Who designed the show Fun with Flags?,"(4 17) Sheldon: Yes, you must be present to win.",0,
Who designed the show Fun with Flags?,(10 10) Sheldon: But you don’t even like flags.,0,
Who designed the show Fun with Flags?,"(9 4) Sheldon: In my present, it’s in the future. In your present, it’s been crammed in the bedroom by an enterprising young man I met in The Home Depot parking lot.",0,
Who designed the show Fun with Flags?,(5 14) Sheldon: Why are you waving a white flag?,0,
Who designed the show Fun with Flags?,"(8 14) Cooper: They’re not undergarments. They’re Underoos. Where I come from, they’re known as underwear that’s fun to wear.",0,
Who designed the show Fun with Flags?,"(1 16) Penny: Uh, Sheldon, I didn’t see your present.",0,
Who designed the show Fun with Flags?,(5 14) Sheldon: Vexillology is the study of flags.,0,
Who designed the show Fun with Flags?,"(9 15) Amy: Since we’re live, you’ll finally be able to reach out to us with your flag thoughts and flag questions.",0,
Who designed the show Fun with Flags?,"(8 10) Sheldon: Crikey, what flag do we have today?",0,
Who designed the show Fun with Flags?,"(9 5) Sheldon: Had me at flag, lost me at football.",0,
Who designed the show Fun with Flags?,(5 14) Sheldon: Here’s an interesting fact about flags.,0,
Who designed the show Fun with Flags?,"(10 23) Sheldon: No, but you are, so I got you this as a present.",0,
Who designed the show Fun with Flags?,"(6 7) Wil: Well, this is an exciting one. This is the flag of the United Federation of Planets. Now what’s interesting about this flag…",0,
Who designed the show Fun with Flags?,(6 4) Penny: Present! Yeah!,0,
Who designed the show Fun with Flags?,(5 14) Sheldon: Vexillology is… why is there a face on that flag?,0,
Who designed the show Fun with Flags?,"(6 4) Amy: Uh, gift? Uh, Present!",0,
Who designed the show Fun with Flags?,"(1 2) Scene: Sheldon and Leonard’s apartment. Sheldon, Leonard, Howard and Raj are present.",0,
Who designed the show Fun with Flags?,"(9 11) Amy: Sheldon, I know your present is for us to be intimate tonight.",0,
Who designed the show Fun with Flags?,(9 13) Scene: Back to the present.,0,
Who designed the show Fun with Flags?,"(9 15) Sheldon: You know what, that’s not a flag question. Next caller.",0,
Who designed the show Fun with Flags?,(1 9) Scene: Leonard is presenting.,0,
Who designed the show Fun with Flags?,(5 14) Sheldon: And I have flag knowledge that I have to get out of here!,0,
Who designed the show Fun with Flags?,"(10 21) Sheldon: Hello, Bert. What is your flag-related comment or query?",0,
Who designed the show Fun with Flags?,"(9 15) Sheldon: Please, all comments and questions should be flag-related.",0,
Who designed the show Fun with Flags?,(3 13) Sheldon: Sheldon. Sheldon Cooper.,0,
Who designed the show Fun with Flags?,(9 11) Sheldon: Then it’s settled. Amy’s birthday present will be my genitals.,0,
Who designed the show Fun with Flags?,(5 20) Voice of Spock: Dr Cooper. Dr Cooper?,0,
Who designed the show Fun with Flags?,"(9 15) Sheldon: I suppose that could be a legitimate concern in a relationship. Uh, perhaps even a, a red flag. And speaking of red flags, check out this sexy number from the former Soviet Union. Hubba, hubba.",0,
Who designed the show Fun with Flags?,"(9 15) Sheldon: If any of you are looking for something to do on Valentine’s Day, Amy and I’ll be streaming our first-ever live episode of Fun With Flags. You’re welcome to join us as we celebrate the timeless love affair between wind and flapping fabric.",0,
Who designed the show Fun with Flags?,(3 22) Past Leonard: We have a flag?,0,
Who designed the show Fun with Flags?,"(1 16) Penny: Well, Sheldon, you’re his friend. Friends give each other presents.",0,
Who designed the show Fun with Flags?,"(5 10) Sheldon: I present to you the relationship agreement. A binding covenant that, in its 31 pages, enumerates, iterates and codifies the rights and responsibilities of Sheldon Lee Cooper, here and after known as the boyfriend, and Amy Farrah Fowler, here and after known as the girlfriend.",0,
Who designed the show Fun with Flags?,"(10 7) Amy: So, in the spirit of cohabitation, the theme of today’s episode is flags of two regions coming together as one. Such as the flag of St. Kitts and Nevis.",0,
Who designed the show Fun with Flags?,(5 21) Sheldon: Humorous. Now will you please present my paper to Professor Hawking?,0,
Who designed the show Fun with Flags?,"(6 17) Sheldon: So, Penny, I understand you would like to learn more about flags.",0,
Who designed the show Fun with Flags?,"(7 2) Sheldon: Oh, right, a present for Leonard. You better throw in that squirt gun.",0,
Who designed the show Fun with Flags?,"(9 8) Amy: Not as a Valentine’s present, no.",0,
Who designed the show Fun with Flags?,"(9 15) Sheldon: Yeah, you know what’s not normal? Blubbering about emotions during a flag show. Unless that emotion is excitement over New Zealand changing their flag. Yeah, good luck, you crazy Kiwis, we’re rooting for you.",0,
Who designed the show Fun with Flags?,"(8 10) Amy: Wow, that flag is a lifesaver.",0,
Who designed the show Fun with Flags?,(9 15) Amy: And Dr. Amy Farrah Fowler present…,0,
Who designed the show Fun with Flags?,(7 7) Sheldon: Sheldon Cooper does not cry.,0,
Who designed the show Fun with Flags?,(2 6) Penny: Sheldon Cooper?,0,
Who designed the show Fun with Flags?,(2 5) Scene: The apartment. Sheldon enters from the bedroom area. Everyone else is present.,0,
Who designed the show Fun with Flags?,"(3 15) Sheldon: Howard, could you lower the lights? I have a short PowerPoint presentation.",0,
Who designed the show Fun with Flags?,"(6 17) Sheldon: If our friend, the flag, has taught me anything, it’s to go where the wind takes you. As long as you remain firmly attached to a rigid pole. And, action. So, Penny, what sort of flag questions keep you awake at night?",0,
Who designed the show Fun with Flags?,"(8 10) Sheldon: And you said you pressed record. Anyway, please sit back, relax, and join us as we take our final lap, as indicated by the waving of this racing flag. And, of course, white flags can also represent surrender, the Stewards of Gondor, and the Japanese Minamoto clan, but I’m sure you remember that from episode sixty-two, White Flags, Who’s Wavin’ ‘Em and Why?",0,
Who designed the show Fun with Flags?,(6 4) Leonard: In what universe is that a present?,0,
Who is the smartest people in the Big Bang Theory,(9 11) Caption: THE BIG BANG THEORY,0,
Who is the smartest people in the Big Bang Theory,(6 1) Scene: Following a “Previously on The Big Bang Theory” section,0,
Who is the smartest people in the Big Bang Theory,(5 24) Scene: Following a “Previously on The Big Bang Theory” section,0,
Who is the smartest people in the Big Bang Theory,"(1 1) Leonard: Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang.",0,
Who is the smartest people in the Big Bang Theory,"(7 14) James: Ay-yi-yi, bang-bang.",0,
Who is the smartest people in the Big Bang Theory,"(1 13) Penny: I’m settling once and for all who is the smartest around here. Okay, are you ready?",2,
Who is the smartest people in the Big Bang Theory,"(8 22) Howard: There’s two kinds of people in this world, those who call tech support, and those who make fun of the people who call tech support.",1,
Who is the smartest people in the Big Bang Theory,"(6 23) Lucy: Well, let’s see. I’d love to be able to tell the lady who cuts my hair that I don’t like bangs.",0,
Who is the smartest people in the Big Bang Theory,(1 5) Howard: The blogosphere is a-buzzing with news of you and Lesley Winkle making eine kleine bang-bang music.,0,
Who is the smartest people in the Big Bang Theory,(5 10) Stuart: Sorry. Most of the guys who come in here like big boobs. Couple of them have big boobs.,0,
Who is the smartest people in the Big Bang Theory,"(8 1) Sheldon: Indeed. I was the world’s smartest caterpillar. And then after pupating in our nation’s railway system, I’ve burst forth as the world’s smartest butterfly.",1,
Who is the smartest people in the Big Bang Theory,"(8 21) Sheldon: There was a scientist who had a theory and James Clerk Maxwell was his name-o. J-A-M-E-S, C-L-E-R-K space M-A-X-W-E-L-L, And James Clerk Maxwell was his name-o. There was a scientist who had a theory and James Clerk Maxwell was his name-o, A-M-E-S…",0,
Who is the smartest people in the Big Bang Theory,(9 22) Leonard: Who are these people?,0,
Who is the smartest people in the Big Bang Theory,(9 14) Bernadette: I’m sure it was harmless. People flirt. No big deal.,0,
Who is the smartest people in the Big Bang Theory,(6 23) Raj: I like your bangs.,0,
Who is the smartest people in the Big Bang Theory,(3 10) Bernadette: Who are all those people?,0,
